'Moosburg a.d.Isar'
'Paris'
'Saulgau'
'Waldshut-Tiengen'
'Helmstedt'
'Genthin'
'Moers'
'Simmerath'
'Heinebach (jetzt Alheim)'
'Lutherstadt Eisleben'
'Riesa'
'Cloppenburg'
'Weißwasser'
'Prenzlau'
'Guntershausen'
'St. Tönis (jetzt Tönisvorst)'
'Schramberg'
'Vetschau'
'Bremen-Nord'
'Hamburg'
'Zell-Eisenberg'
'Kölleda'
'Gronau (Leine)'
'Freckenhorst'
'Frischborn'
'Ebebiyin-Äquatorialguinea'
'Lichtenfels'
'Muckum (jetzt Rödinghausen)'
'Geilenkirchen'
'Aulendorf'
'Garmisch-Partenkirchen'
'Gelsenkirchen'
'Oppeln'
'Victoria, Kamerun'
'Brandau (jetzt Modautal)'
'Lübeck'
'Ulm'
'Eltze'
'Coburg'
'Michelstadt'
'Rabat, Marokko'
'Crailsheim'
'Augsburg'
'Bevern'
'Losheim'
'Ehingen (Donau)'
'Hiltrup (jetzt Münster)'
'Lienen'
'Monheim am Rhein'
'Willich'
'Oberwiesenthal'
'Leer (Ostfriesland)'
'Ebernhahn'
'Regensburg'
'Santiago de Chile'
'Dachau'
'Rhede'
'Kamen'
'Marienberg'
'Weingarten'
'Rahden'
'Vilshofen an der Donau'
'Bergisch Gladbach'
'Haltern am See'
'Katzenelnbogen'
'Illingen'
'Werneuchen'
'Radevormwald'
'Bad Honnef'
'Koblenz'
'Karl-Marx-Stadt (jetzt Chemnitz)'
'Sögel'
'Lichtenstein'
'Mannheim'
'Celle'
'Braubach'
'Besigheim'
'Dmanisi, Georgien'
'Chatan Okinawa, Japan'
'Birkesdorf (jetzt Düren)'
'Ahaus'
'Borken'
'Reimsbach'
'Erlangen'
'Höxter'
'Waldshut'
'Meiningen'
'Trier'
'Baden-Baden'
'Stendal'
'Dissen'
'Salem'
'Viersen'
'Cochem'
'Naumburg (Saale)'
'Au im Murgtal (jetzt Weisenbach)'
'Meran'
'Tehran, Iran'
'Harsewinkel'
'Meerholz'
'Waldbröl'
'Gräfelfing'
'Viechtach'
'Küllstedt'
'Gemünden a.Main'
'Schwelm'
'Köthen'
'Balingen'
'Gütersloh'
'Osterhofen'
'Frechen'
'Stralsund'
'Köthen (Anhalt)'
'Schweinfurt'
'Sevelen'
'Bad Tölz'
'Hofheim am Taunus'
'Schlüchtern'
'Lübz'
'Wetzlar'
'Stuttgart'
'Bad Nauheim'
'Mühlhausen/Thüringen'
'Pinarbasi-Kayseri, Türkei'
'Limburg a.d. Lahn'
'Ehlerstorf'
'Breselenz'
'Bünde'
'Siegen'
'Seifhennersdorf'
'Northeim'
'Bad Säckingen'
'Hagenau'
'Hannover'
'Imsbach'
'Harsefeld'
'Weimar'
'Porz am Rhein'
'St. Michaelisdonn'
'Uettrath (jetzt Heinsberg)'
'Offenbach'
'Amorbach'
'Landau'
'Wolfratshausen'
'Wien'
'Velbert'
'Wermelskirchen'
'Selenodolskij, Russland'
'Reutlingen'
'Bergen-Enkheim'
'Borna'
'Oederan'
'Bietigheim-Bissingen'
'Staufenberg'
'Bremerhaven'
'Schwenningen am Neckar'
'Mutlangen'
'Nauen'
'Lauterbach'
'Wernigerode'
'Bad Nenndorf'
'Oberaudorf'
'Emden'
'Bretten'
'Wissen/Sieg'
'Solz (jetzt Bebra)'
'Zwickau'
'Dillingen a.d.Donau'
'Kinshasa'
'Lünen'
'Eiserfeld'
'Paulsdorf (Freudenberg)'
'Mallersdorf'
'Korbach'
'Lebach'
'Schwäbisch Hall'
'Kempen (jetzt Krefeld)'
'Altenrheine (jetzt Rheine)'
'Merzig'
'Morbach'
'Stolberg (Harz)'
'Zwiesel'
'Mettingen'
'Hameln'
'Brilon'
'Radolfzell am Bodensee'
'Rodewisch'
'Dahn'
'Jülich'
'Engelsberg (jetzt Schwesing)'
'Berlin-Hohenschönhausen'
'Olmütz'
'Gleiwitz (Oberschlesien)'
'Niebüll'
'Hachenburg'
'Bedburg'
'Bad Münder'
'Weil am Rhein'
'Mallersdorf-Pfaffenberg'
'Aalen'
'Laupheim'
'Kronberg im Taunus'
'Leipzig'
'Freital'
'Jerichow'
'Dresden'
'Bad Homburg v. d. Höhe'
'Cuxhaven'
'Heidenheim an der Brenz'
'Brachtendorf'
'Eckartsberga'
'Werdau'
'Lübberstedt'
'Salzwedel'
'Stade'
'Soltau'
'Wölbattendorf'
'Walldorf'
'Wetter (Ruhr)'
'Berleburg'
'Bramsche'
'Yukari Boran, Türkei'
'Herten'
'Altötting'
'Hamm'
'Neuenbürg (Württemberg)'
'Friedrichshafen'
'Duisburg-Hamborn'
'Dillingen / Saar'
'Mannheim-Neckarau'
'Dülmen'
'Wolfenbüttel'
'Neustadt in Holstein'
'Genf, Schweiz'
'Sofia'
'Herdecke'
'Winsen (Luhe)'
'Amberg'
'Ratzeburg'
'Villingen'
'Berlin-Kaulsdorf'
'Karlsruhe'
'Rastatt'
'Gerolzhofen'
'Sankt Englmar'
'Kempen'
'Bad Harzburg'
'Oberlucken'
'Koblenz-Moselweiß'
'Stommeln'
'Bernburg'
'Oberwesel'
'Delmenhorst'
'Saarlouis'
'Bocholt'
'Bielefeld'
'Lauffen am Neckar'
'Walsum (jetzt Duisburg)'
'Kaiserslautern'
'Aschersleben'
'Parchim'
'Olbernhau'
'Ober-Wöllstadt'
'Recklingshausen'
'Bergneustadt'
'Dessau'
'St. Ilgen (jetzt Leimen)'
'Marl'
'Döbern'
'Jerusalem'
'Weste'
'Baumholder'
'Gießen'
'Twistringen'
'Bitburg'
'Gera'
'Nienburg (Weser)'
'Rio de Janeiro'
'Tübingen'
'Elten'
'Bromberg, Polen'
'Berlin'
'Neustadt a.d.Aisch'
'Medersbach'
'Bad Oeynhausen'
'Böhmenkirch'
'Staßfurt'
'Ettenheim'
'Wuppertal'
'Eckernförde'
'Kiel'
'Kempten (Allgäu)'
'Salzkotten'
'Gehrden'
'Hof (Saale)'
'Opladen (jetzt Leverkusen)'
'Bettringen'
'Arad'
'Sulz am Neckar'
'Düsseldorf'
'Dernbach'
'Eitorf'
'Greiz'
'Resita'
'Elz'
'Bischofswerda'
'Dinslaken'
'Inden'
'Würzburg'
'Detmold'
'Marktoberdorf'
'Moskau, Russland'
'Bad Soden-Salmünster'
'Coesfeld'
'Kyllburg'
'Königsberg / Ostpreußen'
'Düzce, Türkei'
'Freiberg'
'Bonn'
'Erfurt'
'Freiburg im Breisgau'
'Ingolstadt'
'Neumarkt'
'Neunkirchen'
'Illertissen'
'Geroldsgrün'
'Kreuztal'
'Wolfen'
'Neuss'
'Weiden i.d.OPf.'
'Mülheim an der Ruhr'
'Bad Cannstatt'
'Andernach'
'Lieser'
'Papenburg'
'Torgau'
'Soltendieck'
'Neustadt a.d.Waldnaab'
'Hechingen'
'Heimboldshausen'
'Münster'
'Weiden i.d.Opf.'
'Teheran, Iran'
'Wesenberg'
'Sömmerda'
'Manhagen'
'Ilmenau'
'Gundelfingen'
'Lüdenscheid'
'Halsbach'
'Thessaloniki, Griechenland'
'Bad Kreuznach'
'Krefeld'
'Gdingen'
'Mazgirt, Türkei'
'Braunschweig'
'Leinefelde'
'Leningrad (jetzt Sankt Petersburg), Russland'
'Hamminkeln-Dingden'
'Esslingen am Neckar'
'Ludwigshafen am Rhein'
'Buchbach'
'Bad Schwalbach'
'Ostercappeln'
'Sendenhorst'
'Goslar'
'Premnitz'
'Kleingrabe'
'Heidenheim'
'Hochstadt a.Main'
'Mainz'
'Heilbronn'
'Gräfenberg'
'Neustadt am Rübenberge'
'Tomsk'
'Löwenstein'
'Winnerath'
'Bad Arolsen'
'Eschwege'
'Passau'
'Sinsheim'
'Achim'
'Schelklingen'
'Troisdorf-Sieglar'
'Wiesbaden'
'Martinsheim'
'Idar-Oberstein'
'Eisenhüttenstadt'
'Zeitz'
'Bonndorf im Schwarzwald'
'Rüsselsheim'
'Freystadt'
'Breslau'
'Ergoldsbach'
'Lobenstein'
'Thedinghausen'
'Bad Godesberg (jetzt Bonn)'
'Eppstein / Ts.'
'Solothurn, Schweiz'
'Wartenberg'
'Mailand, Italien'
'Hansestadt Bremen'
'Bad Hindelang'
'Nagold'
'Grevesmühlen'
'Singapur'
'Wehrda (jetzt Marburg)'
'Bern, Schweiz'
'Hilden'
'Klein Escherde'
'Rosenheim'
'Eislingen/Fils'
'Wunsiedel'
'Acipinar, Türkei'
'Erlabrunn'
'Villingen-Schwenningen'
'Scharnhausen'
'Kyritz'
'Lauchhammer'
'Radolfzell'
'Creglingen'
'Kirchheim unter Teck'
'Glaubendorf (jetzt Wernberg-Köblitz)'
'Iserlohn'
'Schonach'
'Gardelegen'
'Nordhausen am Harz'
'Letmathe (jetzt Iserlohn)'
'Meppen'
'Holdenstedt'
'Lohne (Oldenburg)'
'Nordhorn'
'Winz-Niederwenigern (jetzt Hattingen)'
'Al-Yaurubiya'
'Greifswald'
'Mendig'
'Pasewalk'
'Oelde'
'Gudensberg'
'Neumarkt i.d.OPf.'
'Meckenheim'
'Jettingen'
'Birkenfeld'
'Lahnstein'
'Bad Aibling'
'Rhede (Westf.)'
'Kitzingen'
'Kassel'
'Meißen'
'Stolberg (Rhld.)'
'Königstein'
'Beirut'
'Eschenbach i.d.OPf.'
'Fulda'
'Sangerhausen'
'Brake (Unterweser)'
'Leer (Ostfriedland)'
'Norf'
'Wolfsburg'
'Lank-Latum (jetzt Meerbusch)'
'Karatschi'
'Landshut'
'Haldern'
'Bad Frankenhausen'
'Guben'
'Engelskirchen'
'Groß-Umstadt'
'Meran, Südtirol'
'Freilassing'
'Adelaide, Australien'
'Pforzheim'
'Rommelshausen'
'Bad Hersfeld'
'Istanbul, Türkei'
'Bonn-Beuel'
'Rotenburg a.d. Fulda'
'Immenstadt im Allgäu'
'Bendorf am Rhein'
'Rottweil'
'Rütli, Schweiz'
'Heidelberg'
'Saarbrücken-Dudweiler'
'Düren'
'Ueckermünde'
'Dortmund'
'Zwenkau'
'Greven'
'Altenburg'
'Oettingen i.Bay.'
'Pliezhausen'
'Schwerin'
'Treuchtlingen'
'Luckenwalde'
'Rehren'
'Wegberg'
'Wolfach'
'Altdöbern'
'Worms'
'Herrenberg'
'Palembang'
'Neuenkirchen'
'Hagen-Haspe'
'Paderborn'
'Chemnitz'
'Drevenack'
'Gangkofen'
'Wesel'
'Bremen'
'Naumburg'
'Emmendingen'
'Donauwörth'
'Tschulak-Ankatinskj'
'Untersulmetingen'
'Bamberg'
'Bitterfeld'
'Singen'
'Volkmarsen'
'Bolheim'
'Norden'
'Caputh'
'Tegernsee'
'Geringswalde'
'Langenberg'
'Tuttlingen'
'Obernzenn'
'Halle (Saale)'
'Münster (Westf.)'
'Schwaz, Österreich'
'Oberlahnstein'
'Bad Oldesloe'
'Osterode am Harz'
'Eisfeld'
'Hamburg-Marmstorf'
'Espelkamp-Mittwald'
'Aachen'
'Hildesheim'
'Rheydt'
'Itzehoe'
'Anrath (jetzt Willich)'
'Rheda'
'Uedem'
'Tscharwak'
'Erding'
'Lüchow'
'Husum'
'Bautzen'
'Kaufbeuren'
'Kirchberg (Hunsrück)'
'Bad Salzungen'
'Mainburg'
'Gerolstein'
'Wippra'
'Stolberg'
'Marbach am Neckar'
'Henstedt-Ulzburg'
'Daun'
'Neustadt an der Aisch'
'Pinneberg'
'Würselen'
'Altusried'
'Kemmern'
'Gadderbaum (jetzt Bielefeld)'
'Feuchtwangen'
'Pirmasens'
'Bad Berleburg'
'Müllenbach'
'Grafenau'
'Greifenstein'
'Hagen'
'Recke'
'Teheran'
'Ibbenbüren'
'Achern'
'Harxheim'
'Göppingen'
'Halle'
'Schladen'
'Bückeburg'
'Plettenberg'
'Aschendorf (jetzt Papenburg)'
'Beuthen'
'Wanne-Eickel'
'Veracruz, Mexiko'
'St. Wendel'
'Marske'
'Lilas'
'Memmingen'
'Großenhain'
'Kupferberg'
'Gräfenhainichen'
'Neunkirchen-Ottweiler'
'Ensdorf / Saar'
'Hoffenheim'
'Weißenfels'
'Zell (Mosel)'
'Berlin-Spandau'
'Wriezen'
'Euskirchen'
'Troisdorf'
'Varel'
'Duisburg'
'Adana'
'Unna'
'Kelkit, Türkei'
'Langenberg (Rhld.)'
'Schönberg'
'Reichenbach im Vogtland'
'Osnabrück'
'Kandel'
'Vreden'
'Wismar'
'Erbach (Odenwald)'
'Erzincan, Türkei'
'Cottbus'
'Waiblingen'
'Halle (Westf.)'
'Liegnitz'
'Weißenburg'
'Kaltenkirchen'
'Haunstetten (jetzt Augsburg)'
'Horb am Neckar'
'Wasserburg a.Inn'
'Niederlahnstein'
'Rothenburg ob der Tauber'
'Plauen'
'Radebeul'
'Bottrop'
'Schorndorf'
'Neumünster'
'Filderstadt'
'Heilbronn-Neckargartach'
'Annenrode'
'Bassum'
'Vilsendorf (jetzt Bielefeld)'
'Kusel'
'Telgte'
'Schlema'
'Pinarbaşi, Türkei'
'Haiger'
'Wemding'
'Leverkusen'
'Ottweiler'
'Swinemünde'
'Eggenfelden'
'Hoyerswerda'
'Hockenheim'
'Stockheim (jetzt Kreuzau)'
'Ransdorf'
'Alpen'
'Lüneburg'
'Arnsdorf'
'Saarbrücken'
'Ratingen'
'Nordheim (jetzt Donauwörth)'
'Ostertimke'
'Gifhorn'
'Sanaa, Jemen'
'Ludwigslust'
'Königs Wusterhausen'
'Eichstätt'
'Halberstadt'
'Ebersberg'
'Bogazköy, Ankara-Türkei'
'Falkenstein'
'Cayirli'
'Brühl'
'Rüthen'
'Hornberg'
'Fröndenberg'
'Rochlitz'
'Sigmaringen'
'Neuwied'
'Pfullendorf'
'Hilsbach'
'Osterholz-Scharmbeck'
'Neuburg a.d.Donau'
'Zittau'
'Sasbach'
'Lauenburg/ Elbe'
'Güstrow'
'Sindelfingen'
'Neuenburg am Rhein'
'Hagen-Hohenlimburg'
'Aken / Elbe'
'Lutherstadt Wittenberg'
'Minden'
'Schwemlingen'
'Johannisberg / Rhg.'
'Wittmund'
'Peine'
'Menden (Sauerland)'
'Deggendorf'
'Bad Urach'
'Langenargen'
'Saßnitz'
'Mölln'
'Nottingham, Großbritannien'
'Seebad Heringsdorf'
'Arnswalde'
'Dieburg'
'Burghausen'
'Offenburg'
'Elbistan, Türkei'
'Goch'
'Comodoro Rivadavia, Argentinien'
'Rüningen (jetzt Braunschweig)'
'Rotenburg (Wümme)'
'Groß-Gerau'
'Nordhausen'
'Wurzen'
'Gaildorf'
'Schliengen'
'Köln'
'Malatya, Türkei'
'Pertersroda'
'Leonberg'
'Adana, Türkei'
'Wildenheid'
'Zülpich'
'Filadelfia, Paraguay'
'Lauf a.d.Pegnitz'
'Antakya'
'Bayreuth'
'Rüdersdorf bei Berlin'
'Perleberg'
'Weiding'
'Bingen am Rhein'
'Brand'
'Waldniel'
'Soest'
'Bergen'
'Legau'
'Hollern'
'Hofgeismar'
'Eutin'
'Schnaittenbach'
'Kaltenbrunn'
'Brüssel, Belgien'
'Eisenach'
'Bad Neustadt a.d.Saale'
'Bremervörde'
'Leisnig'
'Herford'
'Nibbixwoud, Niederlande'
'Neustrelitz'
'Gobabis, Namibia'
'Fürth'
'Skalica'
'Westenfeld'
'Warstein'
